NexusNova Android release safety readiness
FAIL | Release build disables Google test-ad mode | NexusNovaAndroid/app/build.gradle.kts
FAIL | Release manifest uses NexusNova production AdMob app id | NexusNovaAndroid/app/build.gradle.kts
PASS | Native App Check initializes before main WebView creation | NexusNovaAndroid/app/src/main/java/com/nexusnova/app/MainActivity.kt
PASS | Production ad initialization is gated by UMP consent readiness | NexusNovaAndroid/app/src/main/java/com/nexusnova/app/MainActivity.kt
PASS | UMP refresh/form/canRequestAds flow is present | NexusNovaAndroid/app/src/main/java/com/nexusnova/app/NexusAdConsentManager.kt
PASS | Native ad manager selects test/production inventory from BuildConfig | NexusNovaAndroid/app/src/main/java/com/nexusnova/app/NexusAdManager.kt
PASS | Permanent signed release workflow is manual-only | .github/workflows/nexusnova-permanent-signed-release.yml
PASS | Permanent signing workflow requires NEXUSNOVA_SIGNING_KEYSTORE_B64 | .github/workflows/nexusnova-permanent-signed-release.yml
PASS | Permanent signing workflow requires NEXUSNOVA_SIGNING_STORE_PASSWORD | .github/workflows/nexusnova-permanent-signed-release.yml
PASS | Permanent signing workflow requires NEXUSNOVA_SIGNING_KEY_ALIAS | .github/workflows/nexusnova-permanent-signed-release.yml
PASS | Permanent signing workflow requires NEXUSNOVA_SIGNING_KEY_PASSWORD | .github/workflows/nexusnova-permanent-signed-release.yml
PASS | Permanent signed APK signature is verified before publication | .github/workflows/nexusnova-permanent-signed-release.yml
PASS | CI removes restored signing keystore after build | .github/workflows/nexusnova-permanent-signed-release.yml
PASS | Git ignores signing secret pattern *.jks | .gitignore
PASS | Git ignores signing secret pattern *.keystore | .gitignore
PASS | Git ignores signing secret pattern *.p12 | .gitignore
PASS | Git ignores signing secret pattern *.jks.b64 | .gitignore
PASS | Git ignores signing secret pattern *.keystore.b64 | .gitignore

Checks: 18 | Failed: 2

Source commit: 3889dc635ea43222ccd060e67225870c64b16f24
